invoice,branch,city,member_type,gender,product _line,total,payment,gross_income,rating
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,493.794,Ewallet,23.514,5.8
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,252.042,Cash,12.002,4.5
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,93.0405,Cash,4.4305,7.7
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,209.622,Credit card,9.982,6.7
573-10-3877,B,Mandalay,Member,Male,Health and beauty,40.9605,Credit card,1.9505,4.7
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages,51.0405,Cash,2.4305,4.4
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,214.998,Credit card,10.238,4.7
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,125.664,Cash,5.984,8.6
411-77-0180,A,Yangon,Member,Male,Electronic accessories,530.67,Ewallet,25.27,4.3
286-01-5402,A,Yangon,Normal,Female,Sports and travel,295.6905,Cash,14.0805,9.6
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,745.836,Cash,35.516,4.1
512-98-1403,A,Yangon,Member,Female,Electronic accessories,83.412,Ewallet,3.972,4.7
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,172.011,Cash,8.191,7.8
532-59-7201,B,Mandalay,Member,Male,Sports and travel,503.559,Cash,23.979,5.5
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,145.593,Ewallet,6.933,9.7
870-76-1733,A,Yangon,Member,Female,Food and beverages,74.7075,Credit card,3.5575,4.4
423-64-4619,A,Yangon,Member,Female,Health and beauty,146.9475,Cash,6.9975,5
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,820.365,Cash,39.065,4.4
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages,208.677,Cash,9.937,5.2
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages,66.402,Cash,3.162,7.3
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,392.6475,Cash,18.6975,4.9
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,218.0745,Credit card,10.3845,8.1
787-15-1757,C,Naypyitaw,Member,Male,Health and beauty,185.094,Ewallet,8.814,8.4
649-11-3678,C,Naypyitaw,Normal,Female,Food and beverages,216.6885,Cash,10.3185,5.5
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,41.391,Cash,1.971,8.4
372-94-8041,A,Yangon,Normal,Male,Health and beauty,96.138,Ewallet,4.578,9.8
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,324.2925,Cash,15.4425,6.7
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,135.576,Credit card,6.456,9.4
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,410.508,Ewallet,19.548,6.4
815-11-1168,A,Yangon,Member,Male,Food and beverages,523.845,Cash,24.945,5.4
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages,395.892,Cash,18.852,8.6
730-61-8757,B,Mandalay,Member,Male,Health and beauty,214.746,Credit card,10.226,4
340-66-0321,A,Yangon,Member,Male,Electronic accessories,152.712,Cash,7.272,7.6
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle,208.089,Cash,9.909,6.8
634-97-8956,A,Yangon,Normal,Male,Food and beverages,103.635,Credit card,4.935,9.1
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,404.355,Cash,19.255,5.5
442-48-3607,A,Yangon,Member,Male,Food and beverages,49.308,Credit card,2.348,7.9
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,77.175,Ewallet,3.675,8.5
527-09-6272,A,Yangon,Member,Female,Electronic accessories,149.3625,Credit card,7.1125,9.1
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,721.98,Ewallet,34.38,7.5
692-27-8933,B,Mandalay,Normal,Female,Sports and travel,365.085,Cash,17.385,5.2
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,150.0975,Credit card,7.1475,9.5
374-17-3652,B,Mandalay,Member,Female,Food and beverages,404.649,Credit card,19.269,8.9
378-07-7001,B,Mandalay,Member,Male,Electronic accessories,151.4835,Credit card,7.2135,7.8
433-75-6987,B,Mandalay,Member,Female,Health and beauty,411.3795,Ewallet,19.5895,8.9
873-95-4984,B,Mandalay,Member,Female,Health and beauty,565.215,Cash,26.915,7.7
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,509.4075,Ewallet,24.2575,9.3
150-89-8043,A,Yangon,Normal,Male,Sports and travel,140.6475,Cash,6.6975,6.2
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,736.4385,Ewallet,35.0685,7.6
441-94-7118,A,Yangon,Member,Male,Electronic accessories,75.5475,Cash,3.5975,7.3
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,749.7,Cash,35.7,4.7
531-80-1784,A,Yangon,Normal,Male,Electronic accessories,191.247,Cash,9.107,5.1
400-45-1220,B,Mandalay,Normal,Female,Health and beauty,141.75,Credit card,6.75,4.8
860-79-0874,C,Naypyitaw,Member,Female,Fashion accessories,1042.65,Credit card,49.65,6.6
834-61-8124,A,Yangon,Normal,Male,Electronic accessories,379.9215,Cash,18.0915,5.5
115-99-4379,B,Mandalay,Member,Female,Fashion accessories,402.2655,Credit card,19.1555,8.5
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,255.15,Cash,12.15,4.8
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,31.752,Cash,1.512,8.4
889-04-9723,B,Mandalay,Member,Female,Food and beverages,374.388,Credit card,17.828,7.8
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories,394.275,Credit card,18.775,9.3
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,1002.12,Cash,47.72,5.2
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories,86.625,Ewallet,4.125,6.5
578-80-7669,B,Mandalay,Normal,Male,Sports and travel,78.7185,Cash,3.7485,5.6
612-36-5536,A,Yangon,Member,Male,Food and beverages,680.064,Credit card,32.384,7.4
605-72-4132,C,Naypyitaw,Normal,Female,Food and beverages,793.548,Cash,37.788,9.1
471-41-2823,C,Naypyitaw,Normal,Male,Food and beverages,209.559,Ewallet,9.979,8
462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,461.286,Cash,21.966,7.2
272-27-9238,C,Naypyitaw,Normal,Female,Food and beverages,173.208,Cash,8.248,7.1
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,343.056,Cash,16.336,9.1
122-61-9553,C,Naypyitaw,Normal,Female,Electronic accessories,484.974,Cash,23.094,5.6
468-88-0009,A,Yangon,Member,Male,Home and lifestyle,276.948,Cash,13.188,6
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,150.78,Cash,7.18,5.4
254-31-0042,A,Yangon,Member,Male,Electronic accessories,203.175,Credit card,9.675,7.8
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,193.011,Cash,9.191,9.9
261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,128.016,Credit card,6.096,4.9
730-70-9830,C,Naypyitaw,Normal,Female,Home and lifestyle,441.693,Ewallet,21.033,5.2
382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,265.104,Cash,12.624,8.9
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,352.2225,Credit card,16.7725,9.1
667-23-5919,A,Yangon,Member,Female,Fashion accessories,507.675,Ewallet,24.175,7
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,334.341,Credit card,15.921,9.6
743-88-1662,C,Naypyitaw,Normal,Male,Sports and travel,701.8515,Ewallet,33.4215,8.7
595-86-2894,C,Naypyitaw,Member,Male,Fashion accessories,407.316,Ewallet,19.396,9.4
182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,99.33,Credit card,4.73,4
289-15-7034,A,Yangon,Member,Male,Sports and travel,345.786,Credit card,16.466,7.5
462-78-5240,C,Naypyitaw,Normal,Female,Electronic accessories,55.881,Cash,2.661,4.2
868-52-7573,B,Mandalay,Normal,Female,Food and beverages,523.3725,Cash,24.9225,9.9
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages,314.538,Ewallet,14.978,4.2
662-72-2873,A,Yangon,Normal,Female,Food and beverages,214.935,Ewallet,10.235,9.9
525-88-7307,B,Mandalay,Member,Male,Sports and travel,79.611,Cash,3.791,5.8
689-16-9784,C,Naypyitaw,Normal,Male,Food and beverages,294.651,Cash,14.031,6
725-56-0833,A,Yangon,Normal,Female,Health and beauty,339.36,Credit card,16.16,10
394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,510.9615,Ewallet,24.3315,9.5
596-42-3999,B,Mandalay,Normal,Male,Food and beverages,133.917,Credit card,6.377,6.6
541-89-9860,C,Naypyitaw,Member,Female,Fashion accessories,253.512,Cash,12.072,8.1
173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,398.475,Cash,18.975,9.7
563-36-9814,A,Yangon,Member,Male,Electronic accessories,80.661,Ewallet,3.841,7.2
308-47-4913,A,Yangon,Member,Female,Sports and travel,548.73,Credit card,26.13,6.2
885-17-6250,A,Yangon,Normal,Female,Health and beauty,83.727,Ewallet,3.987,7.3
726-27-2396,A,Yangon,Normal,Female,Health and beauty,406.875,Ewallet,19.375,4.3
316-01-3952,A,Yangon,Normal,Female,Food and beverages,284.9175,Ewallet,13.5675,4.6
760-54-1821,B,Mandalay,Normal,Male,Home and lifestyle,128.4255,Cash,6.1155,5.8
793-10-3222,B,Mandalay,Member,Female,Health and beauty,258.678,Credit card,12.318,8.3
346-12-3257,B,Mandalay,Member,Male,Electronic accessories,181.818,Cash,8.658,8
110-05-6330,C,Naypyitaw,Normal,Female,Food and beverages,248.409,Credit card,11.829,9.4
651-61-0874,C,Naypyitaw,Normal,Male,Home and lifestyle,194.124,Credit card,9.244,6.2
236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle,14.679,Ewallet,0.699,9.8
831-64-0259,B,Mandalay,Normal,Female,Fashion accessories,208.6875,Ewallet,9.9375,9.6
587-03-7455,C,Naypyitaw,Member,Female,Fashion accessories,718.7565,Ewallet,34.2265,4.9
882-40-4577,A,Yangon,Member,Male,Sports and travel,282.492,Credit card,13.452,8
732-67-5346,A,Yangon,Normal,Male,Food and beverages,72.3975,Credit card,3.4475,7.8
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,288.582,Cash,13.742,4.1
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,237.426,Ewallet,11.306,5.5
372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories,125.055,Ewallet,5.955,5.4
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,359.205,Cash,17.105,5.1
569-71-4390,B,Mandalay,Normal,Male,Sports and travel,45.927,Ewallet,2.187,6.9
132-23-6451,A,Yangon,Member,Male,Health and beauty,110.0925,Cash,5.2425,7.8
696-90-2548,A,Yangon,Normal,Male,Sports and travel,81.396,Ewallet,3.876,6.6
472-15-9636,A,Yangon,Normal,Male,Home and lifestyle,427.812,Ewallet,20.372,9.2
268-03-6164,B,Mandalay,Normal,Male,Health and beauty,100.9155,Ewallet,4.8055,7.8
750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,190.596,Credit card,9.076,8.7
186-09-3669,C,Naypyitaw,Member,Female,Health and beauty,85.5855,Ewallet,4.0755,9.2
848-07-1692,B,Mandalay,Normal,Female,Health and beauty,120.162,Ewallet,5.722,8.3
745-71-3520,A,Yangon,Member,Female,Electronic accessories,185.367,Cash,8.827,8.2
266-76-6436,C,Naypyitaw,Member,Female,Food and beverages,121.59,Ewallet,5.79,7.5
740-22-2500,C,Naypyitaw,Normal,Female,Electronic accessories,264.7575,Cash,12.6075,9.8
271-88-8734,C,Naypyitaw,Member,Female,Fashion accessories,1020.705,Credit card,48.605,8.7
301-81-8610,B,Mandalay,Member,Male,Fashion accessories,213.528,Credit card,10.168,6.7
489-64-4354,C,Naypyitaw,Normal,Male,Fashion accessories,17.094,Cash,0.814,5
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,383.7645,Cash,18.2745,7
269-10-8440,A,Yangon,Member,Male,Health and beauty,390.7995,Cash,18.6095,8.9
650-98-6268,B,Mandalay,Member,Female,Food and beverages,65.7405,Credit card,3.1305,8
741-73-3559,B,Mandalay,Normal,Male,Sports and travel,353.1675,Cash,16.8175,6.9
325-77-6186,A,Yangon,Member,Female,Home and lifestyle,951.825,Ewallet,45.325,7.3
286-75-7818,B,Mandalay,Normal,Male,Fashion accessories,145.068,Credit card,6.908,6.9
574-57-9721,C,Naypyitaw,Normal,Male,Food and beverages,90.867,Ewallet,4.327,5.7
459-50-7686,A,Yangon,Normal,Female,Electronic accessories,147.798,Ewallet,7.038,6.4
616-87-0016,B,Mandalay,Normal,Male,Fashion accessories,702.219,Credit card,33.439,9.6
837-55-7229,B,Mandalay,Normal,Female,Fashion accessories,49.812,Credit card,2.372,6.8
751-69-0068,C,Naypyitaw,Normal,Male,Sports and travel,937.818,Ewallet,44.658,9
257-73-1380,C,Naypyitaw,Member,Male,Sports and travel,348.306,Ewallet,16.586,9.6
345-08-4992,A,Yangon,Normal,Male,Home and lifestyle,214.137,Credit card,10.197,7.7
549-96-4200,C,Naypyitaw,Member,Male,Food and beverages,71.568,Ewallet,3.408,7
810-60-6344,C,Naypyitaw,Normal,Female,Electronic accessories,343.224,Credit card,16.344,6.5
450-28-2866,C,Naypyitaw,Member,Male,Food and beverages,91.56,Cash,4.36,8.1
394-30-3170,B,Mandalay,Member,Female,Sports and travel,742.812,Credit card,35.372,4.3
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,843.0345,Credit card,40.1445,6.5
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,13.419,Ewallet,0.639,9.5
301-11-9629,A,Yangon,Normal,Female,Sports and travel,140.385,Cash,6.685,9.7
390-80-5128,B,Mandalay,Member,Female,Health and beauty,20.1075,Credit card,0.9575,9.5
235-46-8343,C,Naypyitaw,Member,Male,Food and beverages,290.43,Credit card,13.83,8.9
453-12-7053,C,Naypyitaw,Normal,Male,Fashion accessories,144.081,Credit card,6.861,6.5
296-11-7041,B,Mandalay,Member,Female,Health and beauty,28.4235,Credit card,1.3535,5.3
449-27-2918,B,Mandalay,Member,Female,Sports and travel,41.076,Credit card,1.956,9.6
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,470.673,Cash,22.413,6.7
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,138.663,Cash,6.603,7.6
727-17-0390,A,Yangon,Normal,Female,Food and beverages,333.9525,Ewallet,15.9025,4.8
568-88-3448,A,Yangon,Normal,Male,Health and beauty,26.25,Ewallet,1.25,5.5
187-83-5490,A,Yangon,Member,Male,Electronic accessories,87.234,Cash,4.154,4.7
767-54-1907,B,Mandalay,Member,Female,Fashion accessories,155.19,Cash,7.39,6.9
710-46-4433,B,Mandalay,Member,Female,Food and beverages,731.43,Credit card,34.83,4.5
533-33-5337,B,Mandalay,Normal,Male,Electronic accessories,833.595,Cash,39.695,6.2
325-90-8763,C,Naypyitaw,Member,Female,Electronic accessories,488.985,Cash,23.285,7.6
729-46-7422,C,Naypyitaw,Normal,Male,Food and beverages,37.6845,Credit card,1.7945,7.9
639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages,212.73,Cash,10.13,4.5
234-03-4040,B,Mandalay,Member,Female,Food and beverages,767.025,Credit card,36.525,8.7
326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel,310.59,Cash,14.79,6.1
320-32-8842,C,Naypyitaw,Member,Female,Food and beverages,23.751,Cash,1.131,6.4
470-32-9057,A,Yangon,Member,Male,Food and beverages,269.535,Credit card,12.835,9.1
878-30-2331,C,Naypyitaw,Member,Female,Sports and travel,572.775,Credit card,27.275,7.1
440-59-5691,C,Naypyitaw,Member,Female,Health and beauty,273.0525,Credit card,13.0025,7.7
554-53-3790,B,Mandalay,Normal,Male,Sports and travel,233.226,Cash,11.106,4.5
746-19-0921,C,Naypyitaw,Normal,Male,Food and beverages,22.659,Ewallet,1.079,7.2
233-34-0817,C,Naypyitaw,Member,Female,Electronic accessories,103.782,Cash,4.942,8.4
767-05-1286,C,Naypyitaw,Member,Female,Home and lifestyle,527.751,Ewallet,25.131,5.4
340-21-9136,A,Yangon,Member,Female,Sports and travel,168.21,Cash,8.01,9.7
405-31-3305,A,Yangon,Member,Male,Fashion accessories,452.865,Credit card,21.565,5.5
731-59-7531,B,Mandalay,Member,Male,Health and beauty,609.588,Cash,29.028,4.6
676-39-6028,A,Yangon,Member,Female,Electronic accessories,338.31,Cash,16.11,6.6
502-05-1910,A,Yangon,Normal,Male,Health and beauty,205.317,Credit card,9.777,6.3
485-30-8700,A,Yangon,Normal,Female,Sports and travel,174.615,Credit card,8.315,4.2
598-47-9715,C,Naypyitaw,Normal,Male,Electronic accessories,353.094,Ewallet,16.814,4.4
701-69-8742,B,Mandalay,Normal,Male,Sports and travel,360.885,Ewallet,17.185,6.7
575-67-1508,A,Yangon,Normal,Male,Electronic accessories,40.53,Ewallet,1.93,6.7
541-08-3113,C,Naypyitaw,Normal,Male,Food and beverages,554.148,Cash,26.388,8.4
246-11-3901,C,Naypyitaw,Normal,Female,Electronic accessories,344.4,Cash,16.4,6.2
674-15-9296,A,Yangon,Normal,Male,Sports and travel,194.985,Ewallet,9.285,5
305-18-3552,B,Mandalay,Member,Male,Home and lifestyle,633.99,Cash,30.19,6
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,388.29,Credit card,18.49,7
438-01-4015,B,Mandalay,Member,Female,Sports and travel,207.858,Ewallet,9.898,6.6
709-58-4068,B,Mandalay,Normal,Female,Fashion accessories,431.445,Cash,20.545,7.3
795-49-7276,A,Yangon,Normal,Male,Fashion accessories,156.03,Ewallet,7.43,8.3
556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,24.108,Cash,1.148,4.3
627-95-3243,B,Mandalay,Member,Female,Home and lifestyle,734.076,Ewallet,34.956,9.8
686-41-0932,B,Mandalay,Normal,Female,Fashion accessories,72.87,Ewallet,3.47,8.2
510-09-5628,A,Yangon,Member,Female,Fashion accessories,206.43,Credit card,9.83,7.2
608-04-3797,B,Mandalay,Member,Female,Health and beauty,212.688,Ewallet,10.128,8.7
148-82-2527,C,Naypyitaw,Member,Female,Home and lifestyle,127.26,Credit card,6.06,8.4
437-53-3084,B,Mandalay,Normal,Male,Fashion accessories,209.769,Ewallet,9.989,7.1
632-32-4574,B,Mandalay,Normal,Male,Sports and travel,637.728,Cash,30.368,5.5
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,132.762,Cash,6.322,8.5
862-59-8517,C,Naypyitaw,Normal,Female,Food and beverages,568.512,Cash,27.072,6.2
401-18-8016,B,Mandalay,Member,Female,Sports and travel,103.0365,Cash,4.9065,8.9
420-18-8989,A,Yangon,Member,Female,Sports and travel,432.768,Cash,20.608,9.6
277-63-2961,B,Mandalay,Member,Male,Sports and travel,77.6685,Credit card,3.6985,5.4
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,33.495,Ewallet,1.595,9.1
620-02-2046,C,Naypyitaw,Normal,Male,Home and lifestyle,145.74,Ewallet,6.94,9
282-35-2475,B,Mandalay,Normal,Female,Sports and travel,195.951,Cash,9.331,6.3
511-54-3087,B,Mandalay,Normal,Male,Sports and travel,92.8725,Credit card,4.4225,9.5
726-29-6793,A,Yangon,Member,Male,Electronic accessories,203.112,Ewallet,9.672,9.8
387-49-4215,B,Mandalay,Member,Female,Sports and travel,152.775,Cash,7.275,6.7
862-17-9201,B,Mandalay,Normal,Female,Food and beverages,529.515,Credit card,25.215,7.7
291-21-5991,B,Mandalay,Member,Male,Health and beauty,321.7725,Cash,15.3225,7
602-80-9671,C,Naypyitaw,Member,Female,Home and lifestyle,100.485,Credit card,4.785,5.1
347-72-6115,B,Mandalay,Member,Female,Sports and travel,666.939,Credit card,31.759,6.2
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,225.2775,Ewallet,10.7275,6.1
595-27-4851,A,Yangon,Normal,Female,Fashion accessories,398.958,Ewallet,18.998,9.3
189-52-0236,A,Yangon,Normal,Male,Electronic accessories,731.6925,Cash,34.8425,7.6
503-07-0930,C,Naypyitaw,Member,Male,Sports and travel,429.1665,Credit card,20.4365,8.2
413-20-6708,C,Naypyitaw,Member,Female,Fashion accessories,54.0435,Ewallet,2.5735,8.5
425-85-2085,B,Mandalay,Member,Male,Health and beauty,288.015,Ewallet,13.715,9.8
521-18-7827,C,Naypyitaw,Member,Male,Home and lifestyle,206.7975,Credit card,9.8475,8.7
220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,72.933,Ewallet,3.473,9.7
600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,377.58,Credit card,17.98,4.3
734-91-1155,B,Mandalay,Normal,Female,Electronic accessories,143.9865,Credit card,6.8565,7.7
451-28-5717,C,Naypyitaw,Member,Female,Home and lifestyle,523.971,Cash,24.951,7.3
609-81-8548,A,Yangon,Member,Female,Home and lifestyle,235.872,Credit card,11.232,5.9
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,132.027,Cash,6.287,5
534-01-4457,A,Yangon,Normal,Male,Food and beverages,514.773,Credit card,24.513,8
719-89-8991,A,Yangon,Member,Female,Sports and travel,479.9025,Ewallet,22.8525,7.1
286-62-6248,B,Mandalay,Normal,Male,Fashion accessories,164.682,Credit card,7.842,9
339-38-9982,B,Mandalay,Member,Male,Fashion accessories,125.706,Ewallet,5.986,6.7
827-44-5872,B,Mandalay,Member,Female,Food and beverages,570.78,Credit card,27.18,6.1
827-77-7633,A,Yangon,Normal,Male,Sports and travel,926.9505,Cash,44.1405,9.3
287-83-1405,A,Yangon,Normal,Male,Health and beauty,160.209,Ewallet,7.629,7
435-13-4908,A,Yangon,Member,Male,Fashion accessories,728.112,Credit card,34.672,7.2
857-67-9057,B,Mandalay,Normal,Male,Electronic accessories,240.975,Ewallet,11.475,8.2
236-27-1144,C,Naypyitaw,Normal,Female,Food and beverages,154.1295,Ewallet,7.3395,8.4
892-05-6689,A,Yangon,Normal,Female,Home and lifestyle,148.68,Ewallet,7.08,6.2
583-41-4548,C,Naypyitaw,Normal,Male,Home and lifestyle,122.5245,Ewallet,5.8345,7.4
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,77.658,Credit card,3.698,5
643-38-7867,A,Yangon,Normal,Male,Home and lifestyle,102.837,Ewallet,4.897,6.9
308-81-0538,A,Yangon,Normal,Female,Fashion accessories,306.81,Credit card,14.61,4.9
358-88-9262,C,Naypyitaw,Member,Female,Food and beverages,551.124,Ewallet,26.244,5.1
460-35-4390,A,Yangon,Normal,Male,Home and lifestyle,96.642,Ewallet,4.602,9.1
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,79.674,Credit card,3.794,7.1
173-50-1108,B,Mandalay,Member,Female,Sports and travel,84.756,Credit card,4.036,5
243-47-2663,C,Naypyitaw,Member,Male,Electronic accessories,118.251,Credit card,5.631,5.5
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,74.76,Credit card,3.56,9.2
701-23-5550,B,Mandalay,Member,Male,Home and lifestyle,163.002,Ewallet,7.762,4.9
647-50-1224,A,Yangon,Normal,Female,Fashion accessories,308.91,Ewallet,14.71,8.9
541-48-8554,A,Yangon,Normal,Male,Sports and travel,575.9775,Credit card,27.4275,6
539-21-7227,B,Mandalay,Normal,Female,Sports and travel,270.585,Cash,12.885,4.2
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,416.178,Cash,19.818,7.3
747-58-7183,B,Mandalay,Normal,Male,Fashion accessories,180.4005,Ewallet,8.5905,6.5
582-52-8065,B,Mandalay,Normal,Female,Fashion accessories,513.2295,Cash,24.4395,8.9
210-57-1719,B,Mandalay,Normal,Female,Health and beauty,550.368,Cash,26.208,9.7
399-69-4630,C,Naypyitaw,Normal,Male,Electronic accessories,139.923,Credit card,6.663,8.6
134-75-2619,A,Yangon,Member,Male,Electronic accessories,142.002,Cash,6.762,6.9
356-44-8813,B,Mandalay,Normal,Male,Home and lifestyle,118.062,Credit card,5.622,7.7
198-66-9832,B,Mandalay,Member,Female,Fashion accessories,151.284,Cash,7.204,9.5
283-26-5248,C,Naypyitaw,Member,Female,Food and beverages,1034.46,Ewallet,49.26,4.5
712-39-0363,A,Yangon,Member,Male,Food and beverages,262.458,Ewallet,12.498,5.6
218-59-9410,A,Yangon,Member,Female,Home and lifestyle,228.123,Ewallet,10.863,8.2
174-75-0888,B,Mandalay,Normal,Male,Electronic accessories,203.931,Cash,9.711,7.3
866-99-7614,C,Naypyitaw,Normal,Male,Food and beverages,936.6,Credit card,44.6,4.4
134-54-4720,B,Mandalay,Normal,Female,Electronic accessories,356.328,Ewallet,16.968,5.7
760-90-2357,A,Yangon,Member,Male,Electronic accessories,469.413,Ewallet,22.353,5
514-37-2845,B,Mandalay,Normal,Male,Fashion accessories,208.425,Cash,9.925,9
698-98-5964,A,Yangon,Normal,Female,Food and beverages,852.705,Credit card,40.605,6.3
718-57-9773,C,Naypyitaw,Normal,Female,Sports and travel,517.965,Credit card,24.665,9.4
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,621.243,Cash,29.583,7.7
241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,586.971,Credit card,27.951,5.5
408-26-9866,C,Naypyitaw,Normal,Female,Sports and travel,543.753,Ewallet,25.893,4.1
834-83-1826,B,Mandalay,Member,Female,Home and lifestyle,430.71,Credit card,20.51,7.6
343-61-3544,B,Mandalay,Member,Male,Sports and travel,280.035,Cash,13.335,8.6
239-48-4278,A,Yangon,Member,Male,Food and beverages,74.4555,Ewallet,3.5455,8.3
355-34-6244,B,Mandalay,Normal,Male,Food and beverages,152.019,Credit card,7.239,8.1
550-84-8664,A,Yangon,Normal,Male,Sports and travel,451.0275,Credit card,21.4775,8.6
339-96-8318,B,Mandalay,Member,Male,Fashion accessories,597.6285,Ewallet,28.4585,6.3
458-61-0011,B,Mandalay,Normal,Male,Food and beverages,253.26,Cash,12.06,5.8
592-34-6155,C,Naypyitaw,Normal,Male,Food and beverages,133.434,Ewallet,6.354,6.2
797-88-0493,A,Yangon,Normal,Female,Health and beauty,269.934,Cash,12.854,7.7
207-73-1363,B,Mandalay,Normal,Male,Health and beauty,145.971,Ewallet,6.951,8.1
390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,85.743,Cash,4.083,7.3
443-82-0585,A,Yangon,Member,Female,Health and beauty,326.256,Cash,15.536,8.4
339-18-7061,C,Naypyitaw,Member,Female,Fashion accessories,195.258,Credit card,9.298,8
359-90-3665,B,Mandalay,Member,Female,Fashion accessories,75.936,Credit card,3.616,9.5
375-72-3056,B,Mandalay,Normal,Male,Sports and travel,198.639,Ewallet,9.459,7
127-47-6963,A,Yangon,Normal,Male,Health and beauty,217.182,Credit card,10.342,9.8
278-86-2735,A,Yangon,Normal,Female,Food and beverages,164.871,Cash,7.851,9.2
695-28-6250,A,Yangon,Normal,Female,Sports and travel,226.065,Ewallet,10.765,7.7
379-17-6588,C,Naypyitaw,Normal,Male,Fashion accessories,625.905,Cash,29.805,5.3
227-50-3718,A,Yangon,Normal,Male,Health and beauty,76.755,Cash,3.655,4.4
302-15-2162,C,Naypyitaw,Member,Male,Health and beauty,293.139,Credit card,13.959,4.3
788-07-8452,C,Naypyitaw,Member,Female,Home and lifestyle,178.164,Ewallet,8.484,9.4
560-49-6611,A,Yangon,Member,Female,Sports and travel,47.859,Cash,2.279,9.8
880-35-0356,A,Yangon,Member,Female,Sports and travel,236.88,Ewallet,11.28,4.8
585-11-6748,B,Mandalay,Member,Male,Sports and travel,304.92,Cash,14.52,5.3
470-31-3286,B,Mandalay,Normal,Male,Health and beauty,46.683,Credit card,2.223,8.7
